regime,solve_kind,preconditioner,c_scale,n,M,mtot,h,diag_toeplitz,tol,reference_tol,rel_soln_err_vs_ref,iters_completed,iters_median,iters_max,solve_time_sec,apply_time_sec,rel_res_mean,rel_res_median,rel_res_max,converged_fraction
hard,mean,none,nan,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,0.8499836883879469,629.0,629.0,629.0,0.2780056249976042,0.23777413694188,0.000977758607557307,0.000977758607557307,0.000977758607557307,1.0
hard,trace,none,nan,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,0.3207786172344322,4210.0,52.0,4210.0,5.421708833004232,4.317700368948863,0.0009282617086809905,0.0009317971057354609,0.000992957572925953,1.0
hard,mean,diag_ws2,1.0,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,0.5072381355918936,194.0,194.0,194.0,0.08602037500531878,0.07093978398188483,0.0009330285520216062,0.0009330285520216062,0.0009330285520216062,1.0
hard,trace,diag_ws2,1.0,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,1.7004163812834852,1713.0,29.0,1713.0,2.2568083750011283,1.762915648832859,0.000937528134221531,0.0009659360096737117,0.0009956487577887571,1.0
hard,mean,diag_10ws2,10.0,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,0.5870391608742247,111.0,111.0,111.0,0.049213792000955436,0.04066033599519869,0.0009551141831437497,0.0009551141831437497,0.0009551141831437497,1.0
hard,trace,diag_10ws2,10.0,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,4.842669144185294,1981.0,30.0,1981.0,2.3262709580012597,1.8081859071025974,0.0009506943640590267,0.0009682471307160468,0.0009952728602185556,1.0
hard,mean,diag_100ws2,100.0,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,0.6089702334973823,103.0,103.0,103.0,0.045885125000495464,0.03774949801299954,0.0009284991575012974,0.0009284991575012974,0.0009284991575012974,1.0
hard,trace,diag_100ws2,100.0,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,11.276148519848284,1792.0,31.0,1792.0,2.2436695419964963,1.7287248548891512,0.0009039474052938115,0.0009147229598280829,0.000997861773123145,1.0
hard,mean,diag_1000ws2,1000.0,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,0.6208524709081451,100.0,100.0,100.0,0.04538808299548691,0.037424167014251,0.0009029198349803733,0.0009029198349803733,0.0009029198349803733,1.0
hard,trace,diag_1000ws2,1000.0,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,12.303538677476372,1846.0,36.0,1846.0,2.3666660000017146,1.8478909121695324,0.0009289062604690822,0.0009285355697750832,0.0009795988415384619,1.0
hard,mean,diag_Nws2,4765.999999107027,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,0.6254031110267616,99.0,99.0,99.0,0.044023040994943585,0.03624345396383433,0.0009786881872224649,0.0009786881872224649,0.0009786881872224649,1.0
hard,trace,diag_Nws2,4765.999999107027,4766.0,2401.0,49.0,0.8389676779198806,4765.999999107027,0.001,1e-06,12.45284129320646,1934.0,34.0,1934.0,2.399199667001085,1.8716074733092682,0.0008916546735608798,0.0009296117754253385,0.0009906271387410954,1.0
very_hard,mean,none,nan,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,0.7833712187840752,783.0,783.0,783.0,0.3433188339986373,0.2785613479500171,0.000874041201436942,0.000874041201436942,0.000874041201436942,1.0
very_hard,trace,none,nan,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,0.2874926608262661,4162.0,59.0,4162.0,5.919113290998212,4.434821341899806,0.0009260895505978527,0.0009228857734683815,0.0009810191797432369,1.0
very_hard,mean,diag_ws2,1.0,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,0.4913046942642094,226.0,226.0,226.0,0.11144404099468375,0.0889786600600928,0.00098539197425573,0.00098539197425573,0.00098539197425573,1.0
very_hard,trace,diag_ws2,1.0,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,1.5756676880925178,1642.0,32.0,1642.0,2.2995488330052467,1.6541894179172232,0.0009112543771627021,0.0009016133212823622,0.0009992918079333218,1.0
very_hard,mean,diag_10ws2,10.0,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,0.5959510858396133,125.0,125.0,125.0,0.05692462499428075,0.04429328603146132,0.000962901479471883,0.000962901479471883,0.000962901479471883,1.0
very_hard,trace,diag_10ws2,10.0,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,4.640749680677309,1686.0,33.0,1686.0,2.424522999994224,1.7463035672262777,0.000957670671740633,0.000972774484482889,0.000998810041609179,1.0
very_hard,mean,diag_100ws2,100.0,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,0.6166296413474281,113.0,113.0,113.0,0.05384662500000559,0.04262020702299196,0.0009827538982882737,0.0009827538982882737,0.0009827538982882737,1.0
very_hard,trace,diag_100ws2,100.0,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,10.591052923541657,1703.0,33.0,1703.0,2.455621583998436,1.7750583730448852,0.0009199114778590657,0.0009109406792911968,0.000995504902087421,1.0
very_hard,mean,diag_1000ws2,1000.0,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,0.6254395734416562,116.0,116.0,116.0,0.05290912499913247,0.04118341801222414,0.000895271270534802,0.000895271270534802,0.000895271270534802,1.0
very_hard,trace,diag_1000ws2,1000.0,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,11.732321339341773,1660.0,39.0,1660.0,2.442677333005122,1.763399247014604,0.000949451152049627,0.0009654471191469982,0.0009932441542071014,1.0
very_hard,mean,diag_Nws2,4765.999999557242,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,0.62966512737595,116.0,116.0,116.0,0.057469749997835606,0.04579424601979554,0.0009492216390948484,0.0009492216390948484,0.0009492216390948484,1.0
very_hard,trace,diag_Nws2,4765.999999557242,4766.0,3969.0,63.0,0.874159668230882,4765.999999557242,0.001,1e-06,12.137661620108984,1767.0,40.0,1767.0,2.503926875004254,1.7999706470727688,0.0009319287563189674,0.0009414499206027607,0.0009975761734690198,1.0
